title,artist,album,url,description,release_year,fetch_date
Ñuca Llacta,Huayra Yacu Daulis,Ñuca Llacta,https://www.youtube.com/watch?v=HgWF_p-Xw7k,,,2026-04-18 23:06:41
Mama Doña (Sanjuanito),Los Huayanay,Aires de Ecuador,https://www.youtube.com/watch?v=sG-kjyH1kJs,,,2026-04-18 23:06:41
El transporte,Jarawi,El transporte,https://www.youtube.com/watch?v=hUpgR_SsXeM,,,2026-04-18 23:06:41
Chamizas - Pobre corazón - Cantando como yo canto (Sanjuanito version),Eduardo Cadena-El Charango de Ecuador,Al Besar un Pétalo,https://www.youtube.com/watch?v=RR7VSceZlf8,,,2026-04-18 23:06:41
San Juanito,Los Incateños,Andean Music for the World,https://www.youtube.com/watch?v=jKwdiVjzP7I,,,2026-04-18 23:06:41
San Juanito,Juan Rodriguez y Tipica,Mood Music - Listen to the Andes,https://www.youtube.com/watch?v=CHQHcDEkWs0,,,2026-04-18 23:06:41
Cuando Vengo Nomas Vengo,Paulina Tamayo,Siempre Grande (Solo Éxitos),https://www.youtube.com/watch?v=d4QUSqbDtb8,,,2026-04-18 23:06:41
Sanjuanito En Si,Cesar Espinoza,Kutin Takishun,https://www.youtube.com/watch?v=C4jcZnDSO9k,,,2026-04-18 23:06:41
Llorando Mi Sanjuanito: Ña Anguita De Mis Amores / La Minga / Condor Mensajero,Amor Paisano,Llorando Mi Sanjuanito,https://www.youtube.com/watch?v=qiGul9jmUqg,,,2026-04-18 23:06:41
Kishuar,Gonzalo Nicolas,El Ritmo Más Sonado (Edited),https://www.youtube.com/watch?v=lpjn8YbdIj0,,,2026-04-18 23:06:41
Canmandalla Kautsani,Llaqtaymanta,"Llaqtaymanta - Peru, Ecuador, Bolivia. Musica Tradicional de los Andes",https://www.youtube.com/watch?v=E1IpNWVdmlg,,,2026-04-18 23:06:41
Ponchito de Colores San Juanito,Los Uros De Titicaca,Ñuca Llacta Vol.6,https://www.youtube.com/watch?v=xV0JVZAEsxQ,,,2026-04-18 23:06:41
Sanjuanito Travieso,Traviesos Del Amor,Sanjuanito Travieso,https://www.youtube.com/watch?v=vPzWg3sBQ0o,,,2026-04-18 23:06:41
18 Sanjuanitos en Requinto,Yoder Chamba,18 Sanjuanitos en Requinto,https://www.youtube.com/watch?v=htxVjLi9tu4,,,2026-04-18 23:06:41
Lacito Blanco (En Vivo),Hermanas Mendoza Suasti,Obras Cumbres Del Ecuador (En Vivo),https://www.youtube.com/watch?v=EQ-BN_mFnsI,,,2026-04-18 23:06:41
Sanjuanito para Juanita,Rodrigo Tobar,¿Cuándo?,https://www.youtube.com/watch?v=NwHI19cADYY,,,2026-04-18 23:06:41
Sanjuanito's Song,"Classical Hits, Collective Andean Melodies, & Los Incateños",Contemplating Andean Music - Incateños,https://www.youtube.com/watch?v=S5J5WeTEOQw,,,2026-04-18 23:06:41
Transporte,Los Rayos De Sol,San Juanitos Populares Volumen 1,https://www.youtube.com/watch?v=WM9mtxnV90M,,,2026-04-18 23:06:41
Mi Sanjuanito,Ensamble Vocal Mallku,Mi Sanjuanito,https://www.youtube.com/watch?v=Rwc7kF5ia00,,,2026-04-18 23:06:41
San juanito-Pasillo-Centinela,Salteños,Desde el sur,https://www.youtube.com/watch?v=YcswxJMZG8M,,,2026-04-18 23:06:41
Tus Lágrimas,Karu Nan,Chimbaloma,https://www.youtube.com/watch?v=oJ7fSMNi27o,,,2026-04-18 23:06:41
Sanjuanito de Otro Tiempo (Sanjuanito),"Los Folkloristas, Arturo Aguirre",Rondador Ecuatoriano,https://www.youtube.com/watch?v=Yimmb4FeqWM,,,2026-04-18 23:06:41
